RecordID	ProfileID	SeatType	Model	WidthOffset	DepthOffset	HeightOffset	YawOffset	RotationMode	FinalForwardOffset	FinalZOffset	Slots	ApproachOffsets	Flags	Notes
furn_com_rm_barstool	furn_com_rm_barstool	barstool	meshes/f/furn_com_barstool.nif	0	0	3	0	faceNearestTableOrCounter	-7	-36	default	front:0:-80:0;left:-70:0:0;right:70:0:0	unsafeIfBlocked	common bar stool base alignment; Patch 8.3 promoted pants/no-robe calibration from Raflod export
furn_com_p_bench_01	furn_com_p_bench_01	bench		0	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	common bench base alignment
#
# This file describes the physical seat only. Keep one row per chair/stool/bench profile here.
# WidthOffset = left/right along the seated actor's local width axis.
# DepthOffset = forward/back along the seated actor's local facing axis.
# HeightOffset = vertical placement.
# YawOffset = actor rotation correction in degrees.
furn_com_rm_bench_02	furn_com_rm_bench_02	bench	meshes/f/furn_com_bench_02.nif	0	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	common long bench; prefer open side over wall/table-impossible rotation
furn_de_p_bench_04	furn_de_p_bench_04	bench	meshes/f/furn_de_bench_04.nif	0	-20	0	-105	faceOpenSide	-7	-36	seat_a	front:0:-80:0;back:0:80:0	unsafeIfBlocked	calibrated from 2026-05-19 10:07 log; short bench single slot
furn_de_p_bench_03	furn_de_p_bench_03	bench	meshes/f/furn_de_bench_03.nif	0	0	0	1	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	calibrated from developer menu; multi-slot bench; preserve existing offsets/yaw
ab_furn_demidbench	ab_furn_demidbench	bench	meshes/oaab/u/de_rm_bench.nif	0	-4	2	0	faceOpenSide	-7	-36	seat_a;seat_b;seat_c	front:0:-80:0;back:0:80:0	unsafeIfBlocked	OAAB Dunmer bench; 3-slot solver owns long-axis placement, so no extra width offset
furn_com_r_chair_01	furn_com_r_chair_01	backed_chair	meshes/f/furn_com_chair_01.nif	0	0	0	0	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	backed common chair base alignment; orientation-specific corrections live in chairProfileVariants.txt
furn_de_p_chair_01	furn_de_p_chair_01	backed_chair	meshes/f/furn_de_chair_01.nif	0	0	0	0	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	backed de chair base alignment; orientation-specific corrections live in chairProfileVariants.txt
furn_de_p_chair_02	furn_de_p_chair_02	backed_chair	meshes/f/furn_de_chair_02.nif	-25	12	-30	165	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	calibrated from developer menu
furn_de_r_bench_01	furn_de_r_bench_01	bench	meshes/f/furn_de_bench_01.nif	0	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	explicit two-slot Redoran bench profile added from Hlaalu Council Manor 2026-05-19 log
furn_de_r_chair_03	furn_de_r_chair_03	backed_chair	meshes/f/furn_de_chair_03.nif	0	17	2	190	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Updated from 2026-05-24 Balmora Mages Guild export; keeps explicit Redoran chair yaw while seating slightly deeper.
t_imp_furnm_chair01brown	t_imp_furnm_chair01brown	backed_chair	meshes/pc/f/pc_f_com_m_chair_brown.nif	0	5	4	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	backed Tamriel/Data chair; Patch 8.3 promoted manual calibration export after clearance-bypass validation
t_imp_furnm_chair01green	t_imp_furnm_chair01green	backed_chair	meshes/pc/f/pc_f_com_m_chair_green.nif	0	-10	-40	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	backed Tamriel/Data green chair; promoted from Anvil All Flags Inn 3.3.6 exports
t_imp_furnr_chair_02	t_imp_furnr_chair_02	backed_chair	meshes/tr/f/tr_furn_com_chair_02.nif	0	2	-40	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	TR Imperial common chair; tightened from Old Ebonheart Guild of Fighters Ken print after repeated over-deep alignment.
t_imp_furnr_chair_04	t_imp_furnr_chair_04	backed_chair	meshes/tr/f/tr_furn_com_chair_04.nif	0	0	-35	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	TR Imperial common chair variant; updated from 2026-05-24 Old Ebonheart Guild of Fighters fallback calibration.
t_nor_furnm_chair_01	t_nor_furnm_chair_01	backed_chair	meshes/sky/f/sky_furn_n_m_chair_01.nif	0	10	-20	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Skyrim nord chair; promoted from Karthwasten 3.3.6 exports after repeated fallback correction
t_nor_furnm_chair_02	t_nor_furnm_chair_02	backed_chair	meshes/sky/f/sky_furn_n_m_chair_02.nif	0	10	-20	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Skyrim nord chair variant; promoted from Karthwasten 3.3.6 export
t_nor_furnm_chair_03	t_nor_furnm_chair_03	backed_chair	meshes/sky/f/sky_furn_n_m_chair_03.nif	0	10	-20	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Skyrim nord chair variant; promoted from Karthwasten 3.3.6 correction after fallback floated/faced chair back
t_nor_furnm_bench_01	t_nor_furnm_bench_01	bench	meshes/sky/f/sky_furn_n_m_bench_01.nif	0	25	0	0	faceNearestTableOrCounter	-7	-36	default	front:0:-80:0;back:0:80:0	unsafeIfBlocked	Short Skyrim nord bench; single default seat that faces nearby table/bar without exposing bench slots
t_nor_furnm_stool_01	t_nor_furnm_stool_01	stool	meshes/sky/f/sky_furn_n_m_stool_01.nif	0	-7	-1	0	faceNearestTableOrCounter	-7	-36	default	front:0:-70:0;left:-60:0:0;right:60:0:0	unsafeIfBlocked	Skyrim nord stool; depth tightened from Dragonstar East shelf/table print while leaving yaw to the table-facing solver.
ab_furn_demidchair	ab_furn_demidchair	backed_chair	meshes/oaab/u/de_rm_chair01.nif	0	-9	-39	-185	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	promoted from 2026-05-22 BMG/Eight Plates Serdas export; lowers sitidle1 off chair back without returning to old Z -49 ground-sinking row
furn_de_ex_stool_02	furn_de_ex_stool_02	stool	meshes/f/furn_de_ex_stool_02.nif	0	0	0	0	faceNearestTableOrCounter	-10	-36	default	front:0:-70:0;left:-60:0:0;right:60:0:0	unsafeIfBlocked	asymmetrical stool; use table/fallback-open-side solving because some placements face object-forward into walls
furn_com_rm_chair_03	furn_com_rm_chair_03	backed_chair	meshes/f/furn_com_chair_03.nif	0	10	2	165	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	common backed chair neutral row; low Caldera-style placements live in yaw variants so missed variants do not sink NPCs into floors
furn_com_pm_stool_02	furn_com_pm_stool_02	stool	meshes/f/furn_com_stool_02.nif	0	0	0	0	faceNearestTableOrCounter	-9	-36	default	front:0:-70:0;left:-60:0:0;right:60:0:0	unsafeIfBlocked	common stool; freer rotation toward table/counter/fire
furn_com_pm_chair_02	furn_com_pm_chair_02	bench	meshes/f/furn_com_chair_02.nif	0	0	10	0	faceOpenSide	-9	-36	default	front:0:-70:0;left:-60:0:0;right:60:0:0	unsafeIfBlocked	common padded single-seat bench/chair; locks to object forward/back instead of arbitrary table/bar rotation
furn_com_rm_stool_01	furn_com_rm_stool_01	bench	meshes/f/furn_com_stool_01.nif	0	0	0	0	faceOpenSide	-7	-36	seat_a	front:0:-80:0;back:0:80:0	unsafeIfBlocked	Red middle common stool behaves like a short one-slot bench; promoted from Old Ebonheart/Caldera 2026-05-24 playtest.
ab_furn_commidchaircushgreen	ab_furn_commidchaircushgreen	backed_chair	meshes/oaab/u/com_m_chr_green.nif	0	10	5	-195	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	OAAB green cushioned common chair; raised from Pelagiad Ahnassi/Maurrie prints after lower-band surface sampling repeatedly placed actors on the floor
t_imp_furnr_chair_05	t_imp_furnr_chair_05	backed_chair	meshes/tr/f/tr_furn_com_chair_05.nif	0	0	0	-180	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	TR Imperial common chair variant; promoted from Old Ebonheart Guild of Fighters fallback print.
furn_de_p_stool_01	furn_de_p_stool_01	stool	meshes/f/furn_de_stool_01.nif	2	-1	1	0	faceNearestTableOrCounter	-7	-36	default	front:0:-70:0;left:-60:0:0;right:60:0:0	unsafeIfBlocked	calibrated from 2026-05-22 South Wall stool exports; promoted after Or Vess, Tappius, and O'Razirra visual checks
furn_de_ex_bench_01	furn_de_ex_bench_01	bench	meshes/f/furn_de_ex_bench_01.nif	0	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	exterior Dunmer bench; explicit two-slot profile added Patch 7.7
